user_id,recommended_song_1,recommended_song_2,recommended_song_3,recommended_song_4,recommended_song_5,recommended_song_6,recommended_song_7,recommended_song_8,recommended_song_9,recommended_song_10
85d0d381551960608e02df98956277e495b3cf6b,SOZCDWG12A6D4F81E1,SOHFJAQ12AB017E4AF,SOMCAFM12A58A7B024,SOZVVRE12A8C143150,SOUDLVN12AAFF43658,SOTCMDJ12A6D4F8528,SOWRREB12A6D4FA7CB,SOQBMFK12A8C13835B,SOSNSKM12A8C1382A1,SOKVDJM12A8C13B274
ac1cb58f839ae6773732125e99b4a7394e0661e4,SOAUWYT12A81C206F1,SOKNWRZ12A8C13BF62,SOBONKR12A58A7A7E0,SOUFTBI12AB0183F65,SONNSYV12A8C146BEC,SOZVVRE12A8C143150,SOYMIMI12AB0181E5C,SODLAPJ12A8C142002,SOQZYQH12A8AE468E5,SOFNZIF12AC3DF5590
9c2032efba612bccec98435a3928b67d69350bed,SOBSLVH12A8C131F38,SONWUZV12AB0180BAD,SOOBGSW12A6D4F9D51,SOWFJLX12AB0183EE2,SOHJOLH12A6310DFE5,SOSCIZP12AB0181D2F,SOWCKVR12A8C142411,SOAUWYT12A81C206F1,SODGVGW12AC9075A8D,SOUWEJS12AB01868A4
c4bcf00d005e6848a032d94f7fb212f499cdc1ba,SODLAPJ12A8C142002,SOAKMDU12A8C1346A9,SOKNWRZ12A8C13BF62,SOFCPOU12A8C13BF40,SOUYMPF12A58A7C78A,SOOXJDU12A8AE47ECB,SOEOJHS12AB017F3DC,SOHNOOC12A8C13BF35,SOYMIMI12AB0181E5C,SOINKVP12A8C13BF5D
f927dddfe26b0c74ada3eaadca41bfb462c37ee4,SOQGOPT12AAF3B2B27,SOTNHIP12AB0183131,SOYYPON12A8C13C756,SOKKKZW12A6D4F7F88,SOWCUCK12AB0182AD1,SONQEYS12AF72AABC9,SOETKSY12A8C13C666,SOXBCZH12A67ADAD77,SOEBOWM12AB017F279,SOAYATB12A6701FD50
2151970107e08d58919003899f952b64af0ee0ec,SOHIWSV12A67020042,SOJQWUD12AB017DD5E,SOIDDNJ12AC9071B90,SONYKOW12AB01849C9,SOTNHIP12AB0183131,SOFCPOU12A8C13BF40,SOGQJKF12A8C13729E,SOCLMAD12AB017FC09,SOALJBV12AB017FC3A,SOJSUIS12A8C13BDC4
17aa9f6dbdf753831da8f38c71b66b64373de613,SODLAPJ12A8C142002,SOSVEAD12A8AE46FFA,SOTGHQR12A8C1406C5,SOOXJDU12A8AE47ECB,SOKXQDO12AB017FD04,SOKNWRZ12A8C13BF62,SOPYEXA12A6D4FA66C,SOSYVNJ12AB01829E8,SOFQFWN12A58A7A84E,SOCIGMX12A8C144150
3851d01aa9d1b2505fa361b63940e8cdc9a3e754,SONYKOW12AB01849C9,SOLWZVR12AB01849C6,SOAFTRR12AF72A8D4D,SODCADR12AF72A1A99,SOTWSXL12A8C143349,SOISNSU12AC468C0D8,SODCLQR12A67AE110D,SONTQUO12A6D4F7D8B,SOPREHY12AB01815F9,SOIIOUS12A8AE47E20
c6bb7f1933a8024e52f83e35335b31967108aeba,SONHVVE12AB018D038,SOBADEB12AB018275F,SOPSOHT12A67AE0235,SOAUFOF12AB0180C65,SOWKQYL12AB0183B15,SONNSYV12A8C146BEC,SORJICW12A8C13640D,SOFVZRE12A8C139783,SOMEUED12A6701DBEA,SOAFTRR12AF72A8D4D
d66f2f66f2bdc9aa3d0362a35fc91ccc844101f7,SOAMIQK12A6701D94F,SOZYSDT12A8C13BFD7,SOLRPJX12A58A79808,SOUPMLF12A6701EAFE,SOEBOWM12AB017F279,SOUGMXP12AB017C76C,SOXHHAO12A8C139833,SOQGVCS12AF72A078D,SOVWBYM12A6D4F8A22,SOHHALP12A6D4FB6A8
9c8bdd66608468fe0779a978765aa8760572c99f,SOHPNUP12A8C1431B4,SORALYQ12A8151BA99,SOJWFSS12A8C1365FA,SORHUJT12A8C13B85E,SOEMUXL12A58A7B848,SOVRMZU12AB017FE90,SOGHQMI12A8AE46ADC,SOWRQYE12A58A7B2D5,SOUWBLM12A8C1353D7,SONXNIX12A6D4F8EDC
07caa920795cd4f20bfeeb0e192a5ddd9566ecdd,SOCVTLJ12A6310F0FD,SOUSMXX12AB0185C24,SOLFXKT12AB017E3E0,SOPXKYD12A6D4FA876,SOSCIZP12AB0181D2F,SOWEJXA12A6701C574,SOADJQJ12A8C141D38,SOTWSXL12A8C143349,SOFKABN12A8AE476C6,SOMRYYN12A6310F0F3
6e90c8066ef7a7271b0b0365ffd705caa4e904ea,SOSHJHA12AB0181410,SOWGXOP12A6701E93A,SOEIKRK12AB017D6E0,SORBBFV12AB017D710,SOXACZF12A6D4FB153,SOVEUVC12A6310EAF1,SOIBMQT12AB0181395,SOYBHSI12A58A7D58B,SOCCDAW12A8C133D56,SOVPSKL12A670206B9
5d5292006ba24728132385c17927c3ac00225498,SOCXCTS12AC468A380,SOKUEJO12A6701F6CC,SONYKOW12AB01849C9,SOVUEJX12A6D4F79C4,SOWSPUS12AC468BEE3,SOXDLUF12AC4687779,SOSQIHH12A8C13370B,SOHZPIK12A58A7CCAE,SOTMKZF12AB0187412,SOAUWYT12A81C206F1
ec25e3d78ea8374869a772dc58bb903528a3c9cc,SOOJJCT12A6310E1C0,SOBJRIA12A8C14254C,SOJJYDE12AF729FC16,SOLIICC12AF72A64FB,SOVWPNQ12A8C132A63,SOWMDQL12A8C13FB54,SOWWNDT12A8AE49A4C,SOTVLQY12A58A798C2,SOAOSDF12A58A779F1,SOPSOHT12A67AE0235
